Layer,Train Loss,Train Accuracy,Test Accuracy,Test Precision,Test Recall,Test F1-Score
layer_0_processed,1.5367137164461846,0.44355828220858895,0.848819380558111,0.8355640468918057,0.848819380558111,0.8354433159462418
layer_5_processed,0.34009649699517325,0.8653374233128834,0.94786875191659,0.9502039095746936,0.94786875191659,0.94785762175254
layer_10_processed,0.7506604464907273,0.7091801518521359,0.847239263803681,0.8469172292923706,0.847239263803681,0.8387065171755002
layer_15_processed,0.6512033607737691,0.7363294731191042,0.8475460122699386,0.8566379367758631,0.8475460122699386,0.843037518671695
layer_20_processed,0.25845843893201914,0.8965411457933891,0.9374233128834356,0.9408943247864701,0.9374233128834356,0.936818941005143
layer_24_processed,0.6000441445731649,0.7577663572907878,0.9107361963190184,0.9111464620863341,0.9107361963190184,0.9088503651414851
